categorie,opus,fichier,notre_titre,titre_nba
exact,BWV 262,Alle_Menschen_müssen_sterben_(BWV_262)_Jean_Sébastien_Bach_layout.ly,Alle Menschen müssen sterben,Alle Menschen müssen sterben
exact,BWV 260,Allein_Gott_in_der_Höh_sei_Ehr_(BWV_260)_Jean_Sébastien_Bach_layout.ly,Allein Gott in der Höh sei Ehr,Allein Gott in der Höh sei Ehr
exact,BWV 263,Alles_ist_an_Gottes_Segen_(BWV_263)_Jean_Sébastien_Bach_layout.ly,Alles ist an Gottes Segen,Alles ist an Gottes Segen
exact,BWV 265,Als_Jesus_Christus_in_der_Nacht_(BWV_265)_Jean_Sébastien_Bach_layout.ly,Als Jesu Christus in der Nacht,Als Jesu Christus in der Nacht
exact,BWV 264,Als_der_gütige_Gott_(BWV_264)_Jean_Sébastien_Bach_layout.ly,Als der gütige Gott,Als der gütige Gott
exact,BWV 266,Als_vierzig_Tag_nach_Ostern_warn_(BWV_266)_Jean_Sébastien_Bach_layout.ly,Als vierzig Tag nach Ostern warn,Als vierzig Tag nach Ostern warn
exact,BWV 267,An_Wasserflüssen_Babylon_(BWV_267)_Jean_Sébastien_Bach_layout.ly,An Wasserflüssen Babylon,An Wasserflüssen Babylon / Ein Lämmlein geht und trägt die Schuld
exact,BWV 268,"Auf,_auf,_mein_Herz,_und_du_mein_ganzer_Sinn_(BWV_268)_Jean_Sébastien_Bach_layout.ly","Auf, auf, mein Herz, und du, mein ganzer Sinn","Auf, auf, mein Herz, und du, mein ganzer Sinn"
exact,BWV 145a,"Auf,_mein_Herz,_des_Herren_Tag_(BWV_145a)_Jean_Sébastien_Bach_layout.ly","Auf, mein Herz, des Herren Tag","Auf, mein Herz, des Herren Tag"
exact,BWV 269,Aus_meines_Herzens_Grunde_(BWV_269)_Jean_Sébastien_Bach_layout.ly,Aus meines Herzens Grunde,Aus meines Herzens Grunde
exact,BWV 103/6,"Barmherzger_Vater,_höchster_Gott_(BWV_103_6)_Jean_Sébastien_Bach_layout.ly","Barmherzger Vater, höchster Gott","Barmherzger Vater, höchster Gott"
exact,BWV 153/5,Befiehl_du_deine_Wege_(BWV_153_5)_Jean_Sébastien_Bach_layout.ly,Befiehl du deine Wege,Befiehl du deine Wege
exact,BWV 244/44,Befiehl_du_deine_Wege_(BWV_244_44)_Jean_Sébastien_Bach_layout.ly,Befiehl du deine Wege,Befiehl du deine Wege
exact,BWV 273,"Christ,_der_du_bist_der_helle_Tag_(BWV_273)_Jean_Sébastien_Bach_layout.ly","Christ, der du bist der helle Tag","Christ, der du bist der helle Tag"
exact,BWV 276,Christ_ist_erstanden_(BWV_276)_Jean_Sébastien_Bach_layout.ly,Christ ist erstanden,Christ ist erstanden
exact,BWV 277,Christ_lag_in_Todesbanden_(BWV_277)_Jean_Sébastien_Bach_layout.ly,Christ lag in Todesbanden,Christ lag in Todesbanden
exact,BWV 4/8,Christ_lag_in_Todesbanden_(BWV_4_8)_Jean_Sébastien_Bach_layout.ly,Christ lag in Todesbanden,Christ lag in Todesbanden
exact,BWV 280,Christ_unser_Herr_zum_Jordan_kam_(BWV_280)_Jean_Sébastien_Bach_layout.ly,Christ unser Herr zum Jordan kam,Christ unser Herr zum Jordan kam
exact,BWV 274,"Christe,_der_du_bist_Tag_und_Licht_(BWV_274)_Jean_Sébastien_Bach_layout.ly","Christe, der du bist Tag und Licht","Christe, der du bist Tag und Licht"
exact,BWV 121/6,Christum_wir_sollen_loben_schon_(BWV_121_6)_Jean_Sébastien_Bach_layout.ly,Christum wir sollen loben schon,Christum wir sollen loben schon
exact,BWV 281,"Christus,_der_ist_mein_Leben_(BWV_281)_Jean_Sébastien_Bach_layout.ly","Christus, der ist mein Leben","Christus, der ist mein Leben"
exact,BWV 1084,"Christus,_der_uns_selig_macht_(BWV_1084)_Jean_Sébastien_Bach_layout.ly","Christus, der uns selig macht","Christus, der uns selig macht"
exact,BWV 245/15,"Christus,_der_uns_selig_macht_(BWV_245_15)_Jean_Sébastien_Bach_layout.ly","Christus, der uns selig macht","Christus, der uns selig macht"
exact,BWV 245/37,"Christus,_der_uns_selig_macht_(BWV_245_37)_Jean_Sébastien_Bach_layout.ly","Christus, der uns selig macht","Christus, der uns selig macht"
exact,BWV 283,"Christus,_der_uns_selig_macht_(BWV_283)_Jean_Sébastien_Bach_layout.ly","Christus, der uns selig macht","Christus, der uns selig macht"
exact,BWV 284,"Christus_ist_erstanden,_hat_überwunden_(BWV_284)_Jean_Sébastien_Bach_layout.ly","Christus ist erstanden, hat überwunden","Christus ist erstanden, hat überwunden"
exact,BWV 285,Da_der_Herr_Christ_zu_Tische_saß_(BWV_285)_Jean_Sébastien_Bach_layout.ly,Da der Herr Christ zu Tische saß,Da der Herr Christ zu Tische saß
exact,BWV 287,Dank_sei_Gott_in_der_Höhe_(BWV_287)_Jean_Sébastien_Bach_layout.ly,Dank sei Gott in der Höhe,Dank sei Gott in der Höhe
exact,BWV 290,Das_walt_Gott_Vater_und_Gott_Sohn_(BWV_290)_Jean_Sébastien_Bach_layout.ly,Das walt Gott Vater und Gott Sohn,Das walt Gott Vater und Gott Sohn
exact,BWV 292,Den_Vater_dort_oben_(BWV_292)_Jean_Sébastien_Bach_layout.ly,Den Vater dort oben,Den Vater dort oben
exact,BWV 104/6,Der_Herr_ist_mein_getreuer_Hirt_(BWV_104_6)_Jean_Sébastien_Bach_layout.ly,Der Herr ist mein getreuer Hirt,Der Herr ist mein getreuer Hirt
exact,BWV 112/5,Der_Herr_ist_mein_getreuer_Hirt_(BWV_112_5)_Jean_Sébastien_Bach_layout.ly,Der Herr ist mein getreuer Hirt,Der Herr ist mein getreuer Hirt
exact,BWV 294,"Der_Tag,_der_ist_so_freudenreich_(BWV_294)_Jean_Sébastien_Bach_layout.ly","Der Tag, der ist so freudenreich","Der Tag, der ist so freudenreich"
exact,BWV 293,Der_du_bist_drei_in_Einigkeit_(BWV_293)_Jean_Sébastien_Bach_layout.ly,Der du bist drei in Einigkeit,Der du bist drei in Einigkeit
exact,BWV 295,Des_Heilgen_Geistes_reiche_Gnad_(BWV_295)_Jean_Sébastien_Bach_layout.ly,Des Heilgen Geistes reiche Gnad,Des heilgen Geistes reiche Gnad
exact,BWV 296,Die_Nacht_ist_kommen_(BWV_296)_Jean_Sébastien_Bach_layout.ly,Die Nacht ist kommen,Die Nacht ist kommen
exact,BWV 298,Dies_sind_die_heilgen_zehn_Gebot_(BWV_298)_Jean_Sébastien_Bach_layout.ly,Dies sind die heilgen zehn Gebot,Dies sind die heilgen zehn Gebot
exact,BWV 299,"Dir,_dir,_Jehova,_will_ich_singen_(BWV_299)_Jean_Sébastien_Bach_layout.ly","Dir, dir, Jehova, will ich singen","Dir, dir, Jehova, will ich singen"
exact,BWV 301,"Du,_o_schönes_Weltgebäude_(BWV_301)_Jean_Sébastien_Bach_layout.ly","Du, o schönes Weltgebäude","Du, o schönes Weltgebäude"
exact,BWV 56/5,"Du,_o_schönes_Weltgebäude_(BWV_56_5)_Jean_Sébastien_Bach_layout.ly","Du, o schönes Weltgebäude","Du, o schönes Weltgebäude"
exact,BWV 67/7,"Du_Friedefürst,_Herr_Jesu_Christ_(BWV_67_7)_Jean_Sébastien_Bach_layout.ly","Du Friedefürst, Herr Jesu Christ","Du Friedefürst, Herr Jesu Christ"
exact,BWV 43/11,"Du_Lebensfürst,_Herr_Jesu_Christ _(BWV_43_11)_Jean_Sébastien_Bach_layout.ly","Du Lebensfürst, Herr Jesu Christ","Du Lebensfürst, Herr Jesu Christ"
exact,BWV 300,Du_großer_Schmerzensmann_(BWV_300)_Jean_Sébastien_Bach_layout.ly,Du großer Schmerzensmann,Du großer Schmerzensmann
exact,BWV 65/2,Ein_Kind_geborn_zu_Bethlehem_(BWV_65_2)_Jean_Sébastien_Bach_layout.ly,Ein Kind geborn zu Bethlehem,Ein Kind geborn zu Bethlehem
exact,BWV 304,"Eins_ist_not,_ach_Herr,_dies_Eine_(BWV_304)_Jean_Sébastien_Bach_layout.ly","Eins ist not, ach Herr, dies Eine","Eins ist not, ach Herr, dies Eine"
exact,BWV 305,"Erbarm_dich_mein,_o_Herre_Gott_(BWV_305)_Jean_Sébastien_Bach_layout.ly","Erbarm dich mein, o Herre Gott","Erbarm dich mein, o Herre Gott"
exact,BWV 6/6,"Erhalt_uns,_Herr,_bei_deinem_Wort_(BWV_6_6)_Jean_Sébastien_Bach_layout.ly","Erhalt uns, Herr, bei deinem Wort","Erhalt uns, Herr, bei deinem Wort"
exact,BWV 248/12,"Ermuntre_dich,_mein_schwacher_Geist_(BWV_248_12)_Jean_Sébastien_Bach_layout.ly","Ermuntre dich, mein schwacher Geist","Ermuntre dich, mein schwacher Geist"
exact,BWV 145/5,Erschienen_ist_der_herrlich_Tag_(BWV_145_5)_Jean_Sébastien_Bach_layout.ly,Erschienen ist der herrlich Tag,Erschienen ist der herrlich Tag
exact,BWV 155/5,Es_ist_das_Heil_uns_kommen_her_(BWV_155_5)_Jean_Sébastien_Bach_layout.ly,Es ist das Heil uns kommen her,Es ist das Heil uns kommen her
exact,BWV 86/6,Es_ist_das_Heil_uns_kommen_her_(BWV_86_6)_Jean_Sébastien_Bach_layout.ly,Es ist das Heil uns kommen her,Es ist das Heil uns kommen her
exact,BWV 9/7,Es_ist_das_Heil_uns_kommen_her_(vv._7–8)_(BWV_9_7)_Jean_Sébastien_Bach_layout.ly,Es ist das Heil uns kommen her,Es ist das Heil uns kommen her
exact,BWV 60/5,Es_ist_genug_(BWV_60_5)_Jean_Sébastien_Bach_layout.ly,Es ist genug,Es ist genug
exact,BWV 307,Es_ist_gewisslich_an_der_Zeit_(BWV_307)_Jean_Sébastien_Bach_layout.ly,Es ist gewisslich an der Zeit,Es ist gewisslich an der Zeit
exact,BWV 308,Es_spricht_der_Unweisen_Mund_wohl_(BWV_308)_Jean_Sébastien_Bach_layout.ly,Es spricht der Unweisen Mund wohl,Es spricht der Unweisen Mund wohl
exact,BWV 309,Es_stehn_vor_Gottes_Throne_(BWV_309)_Jean_Sébastien_Bach_layout.ly,Es stehn vor Gottes Throne,Es stehn vor Gottes Throne
exact,BWV 310,Es_wird_schier_der_letzte_Tag_herkommen_(BWV_310)_Jean_Sébastien_Bach_layout.ly,Es wird schier der letzte Tag herkommen,Es wird schier der letzte Tag herkommen
exact,BWV 69/6,Es_woll_uns_Gott_genädig sein_(BWV_69_6)_Jean_Sébastien_Bach_layout.ly,Es woll uns Gott genädig sein,Es woll uns Gott genädig sein
exact,BWV 19/7,"Freu_dich_sehr,_o_meine_Seele_(BWV_19_7)_Jean_Sébastien_Bach_layout.ly","Freu dich sehr, o meine Seele","Freu dich sehr, o meine Seele"
exact,BWV 40/8,"Freuet_euch,_ihr_Christen_alle_(BWV_40_8)_Jean_Sébastien_Bach_layout.ly","Freuet euch, ihr Christen alle","Freuet euch, ihr Christen alle"
exact,BWV 248/33,Fröhlich_soll_mein_Herze_springen_(BWV_248_33)_Jean_Sébastien_Bach_layout.ly,Fröhlich soll mein Herze springen,Fröhlich soll mein Herze springen
exact,BWV 64/2,"Gelobet_seist_du,_Jesu_Christ_(BWV_64_2)_Jean_Sébastien_Bach_layout.ly","Gelobet seist du, Jesu Christ","Gelobet seist du, Jesu Christ"
exact,BWV 91/6,"Gelobet_seist_du,_Jesu_Christ_(BWV_91_6)_Jean_Sébastien_Bach_layout.ly","Gelobet seist du, Jesu Christ","Gelobet seist du, Jesu Christ"
exact,BWV 315,Gib_dich_zufrieden_und_sei_stille_(BWV_315)_Jean_Sébastien_Bach_layout.ly,Gib dich zufrieden und sei stille,Gib dich zufrieden und sei stille
exact,BWV 316,"Gott,_der_du_selber_bist_das_Licht_(BWV_316)_Jean_Sébastien_Bach_layout.ly","Gott, der du selber bist das Licht","Gott, der du selber bist das Licht"
exact,BWV 108/6,"Gott_Vater,_sende_deinen_Geist_(BWV_108_6)_Jean_Sébastien_Bach_layout.ly","Gott Vater, sende deinen Geist","Gott Vater, sende deinen Geist"
exact,BWV 74/8,"Gott_Vater,_sende_deinen_Geist_(BWV_74_8)_Jean_Sébastien_Bach_layout.ly","Gott Vater, sende deinen Geist","Gott Vater, sende deinen Geist"
exact,BWV 317,Gott_der_Vater_wohn_uns_bei_(BWV_317)_Jean_Sébastien_Bach_layout.ly,Gott der Vater wohn uns bei,Gott der Vater wohn uns bei
exact,BWV 319,Gott_hat_das_Evangelium_(BWV_319)_Jean_Sébastien_Bach_layout.ly,Gott hat das Evangelium,Gott hat das Evangelium
exact,BWV 320,Gott_lebet_noch_(BWV_320)_Jean_Sébastien_Bach_layout.ly,Gott lebet noch,Gott lebet noch
exact,BWV 322,Gott_sei_gelobet_und_gebenedeiet_(BWV_322)_Jean_Sébastien_Bach_layout.ly,Gott sei gelobet und gebenedeiet,Gott sei gelobet und gebenedeiet
exact,BWV 323,Gott_sei_uns_gnädig_und_barmherzig_(BWV_323)_Jean_Sébastien_Bach_layout.ly,Gott sei uns gnädig und barmherzig,Gott sei uns gnädig und barmherzig
exact,BWV 318,Gottes_Sohn_ist_kommen_(BWV_318)_Jean_Sébastien_Bach_layout.ly,Gottes Sohn ist kommen,Gottes Sohn ist kommen
exact,BWV 321,"Gottlob,_es_geht_nunmehr_zum_Ende_(BWV_321)_Jean_Sébastien_Bach_layout.ly","Gottlob, es geht nunmehr zum Ende","Gottlob, es geht nunmehr zum Ende"
exact,BWV 16/6,Helft_mir_Gotts_Güte_preisen_(BWV_16_6)_Jean_Sébastien_Bach_layout.ly,Helft mir Gotts Güte preisen,Helft mir Gotts Güte preisen
exact,BWV 28/6,Helft_mir_Gotts_Güte_preisen_(BWV_28_6)_Jean_Sébastien_Bach_layout.ly,Helft mir Gotts Güte preisen,Helft mir Gotts Güte preisen
exact,BWV 419,Helft_mir_Gotts_Güte_preisen_Von_Gott_will_ich_nicht_lassen_(BWV_419)_Jean_Sébastien_Bach_layout.ly,Von Gott will ich nicht lassen,Von Gott will ich nicht lassen
exact,BWV 329,"Herr,_ich_denk_an_jene_Zeit_(BWV_329)_Jean_Sébastien_Bach_layout.ly","Herr, ich denk an jene Zeit","Herr, ich denk an jene Zeit"
exact,BWV 337,"Herr,_nun_lass_in_Friede_(BWV_337)_Jean_Sébastien_Bach_layout.ly","Herr, nun lass in Friede","Herr, nun lass in Friede"
exact,BWV 156/6,"Herr,_wie_du_willst,_so_schicks_mit_mir_(BWV_156_6)_Jean_Sébastien_Bach_layout.ly","Herr, wie du willst, so schicks mit mir","Herr, wie du willst, so schicks mit mir"
exact,BWV 164/6,"Herr_Christ,_der_einge_Gottessohn_(BWV_164_6)_Jean_Sébastien_Bach_layout.ly","Herr Christ, der einge Gottessohn","Herr Christ, der einge Gottessohn"
exact,BWV 96/6,"Herr_Christ,_der_einge_Gottessohn_(BWV_96_6)_Jean_Sébastien_Bach_layout.ly","Herr Christ, der einge Gottessohn","Herr Christ, der einge Gottessohn"
exact,BWV 113/8,"Herr_Jesu_Christ,_du_höchstes_Gut_(BWV_113_8)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, du höchstes Gut","Herr Jesu Christ, du höchstes Gut"
exact,BWV 168/6,"Herr_Jesu_Christ,_du_höchstes_Gut_(BWV_168_6)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, du höchstes Gut","Herr Jesu Christ, du höchstes Gut"
exact,BWV 48/7,"Herr_Jesu_Christ,_ich_schrei_zu_dir_(BWV_48_7)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, ich schrei zu dir","Herr Jesu Christ, ich schrei zu dir"
exact,BWV 335,"Herr_Jesu_Christ,_meins_Lebens_Licht_(BWV_335)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, meins Lebens Licht","Herr Jesu Christ, meins Lebens Licht / O Jesu, du mein Bräutigam"
exact,BWV 336,"Herr_Jesu_Christ,_wahr'_Mensch_und_Gott_(BWV_336)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, wahr Mensch und Gott","Herr Jesu Christ, wahr Mensch und Gott"
exact,BWV 127/5,"Herr_Jesu_Christ,_wahr_Mensch_und_Gott_(BWV_127_5)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, wahr Mensch und Gott","Herr Jesu Christ, wahr Mensch und Gott"
exact,BWV 174/5,"Herzlich_lieb_hab_ich_dich,_o_Herr_(BWV_174_5)_Jean_Sébastien_Bach_layout.ly","Herzlich lieb hab ich dich, o Herr","Herzlich lieb hab ich dich, o Herr"
exact,BWV 245/40,"Herzlich_lieb_hab_ich_dich,_o_Herr_(BWV_245_40)_Jean_Sébastien_Bach_layout.ly","Herzlich lieb hab ich dich, o Herr","Herzlich lieb hab ich dich, o Herr"
exact,BWV 340,"Herzlich_lieb_hab_ich_dich,_o_Herr_(BWV_340)_Jean_Sébastien_Bach_layout.ly","Herzlich lieb hab ich dich, o Herr","Herzlich lieb hab ich dich, o Herr"
exact,BWV 161/6,Herzlich_tut_mich_verlangen_(BWV_161_6)_Jean_Sébastien_Bach_layout.ly,Herzlich tut mich verlangen,Herzlich tut mich verlangen
exact,BWV 341,"Heut_ist,_o_Mensch,_ein_großer_Trauertag_(BWV_341)_Jean_Sébastien_Bach_layout.ly","Heut ist, o Mensch, ein großer Trauertag","Heut ist, o Mensch, ein großer Trauertag"
exact,BWV 342,Heut_triumphieret_Gottes_Sohn_(BWV_342)_Jean_Sébastien_Bach_layout.ly,Heut triumphieret Gottes Sohn,Heut triumphieret Gottes Sohn
exact,BWV 343,"Hilf,_Gott,_dass_mirs_gelinge_(BWV_343)_Jean_Sébastien_Bach_layout.ly","Hilf, Gott, dass mirs gelinge","Hilf, Gott, dass mirs gelinge"
exact,BWV 344,"Hilf,_Herr_Jesu,_lass_gelingen_(BWV_344)_Jean_Sébastien_Bach_layout.ly","Hilf, Herr Jesu, lass gelingen","Hilf, Herr Jesu, lass gelingen"
exact,BWV 179/6,"Ich_armer_Mensch,_ich_armer_Sünder_(BWV_179_6)_Jean_Sébastien_Bach_layout.ly","Ich armer Mensch, ich armer Sünder","Ich armer Mensch, ich armer Sünder"
exact,BWV 345,"Ich_bin_ja,_Herr,_in_deiner_Macht_(BWV_345)_Jean_Sébastien_Bach_layout.ly","Ich bin ja, Herr, in deiner Macht","Ich bin ja, Herr, in deiner Macht"
exact,BWV 37/6,"Ich_dank_dir,_lieber_Herre_(BWV_37_6)_Jean_Sébastien_Bach_layout.ly","Ich dank dir, lieber Herre","Ich dank dir, lieber Herre"
exact,BWV 133/6,Ich_freue_mich_in_dir_(BWV_133_6)_Jean_Sébastien_Bach_layout.ly,Ich freue mich in dir,Ich freue mich in dir
exact,BWV 65/7,Ich_hab_in_Gottes_Herz_und_Sinn_(BWV_65_7)_Jean_Sébastien_Bach_layout.ly,Ich hab in Gottes Herz und Sinn,Ich hab in Gottes Herz und Sinn
exact,BWV 351,Ich_hab_mein_Sach_Gott_heimgestellt_(BWV_351)_Jean_Sébastien_Bach_layout.ly,Ich hab mein Sach Gott heimgestellt,Ich hab mein Sach Gott heimgestellt
exact,BWV 177/5,"Ich_ruf_zu_dir,_Herr_Jesu_Christ_(BWV_177_5)_Jean_Sébastien_Bach_layout.ly","Ich ruf zu dir, Herr Jesu Christ","Ich ruf zu dir, Herr Jesu Christ"
exact,BWV 248/59,Ich_steh_an_deiner_Krippen_hier_(BWV_248_59)_Jean_Sébastien_Bach_layout.ly,Ich steh an deiner Krippen hier,Ich steh an deiner Krippen hier
exact,BWV 366,"Ihr_Gestirn',_ihr_hohlen_Lüfte_(BWV_366)_Jean_Sébastien_Bach_layout.ly","Ihr Gestirn, ihr hohlen Lüfte","Ihr Gestirn, ihr hohlen Lüfte"
exact,BWV 248/53,"Ihr_Gestirn,_ihr_hohlen_Lüfte_(BWV_248_53)_Jean_Sébastien_Bach_layout.ly","Ihr Gestirn, ihr hohlen Lüfte","Ihr Gestirn, ihr hohlen Lüfte"
exact,BWV 13/6,In_allen_meinen_Taten_(BWV_13_6)_Jean_Sébastien_Bach_layout.ly,In allen meinen Taten,In allen meinen Taten
exact,BWV 44/7,In_allen_meinen_Taten_(BWV_44_7)_Jean_Sébastien_Bach_layout.ly,In allen meinen Taten,In allen meinen Taten
exact,BWV 244/32,"In_dich_hab_ich_gehoffet,_Herr_(BWV_244_32)_Jean_Sébastien_Bach_layout.ly","In dich hab ich gehoffet, Herr","In dich hab ich gehoffet, Herr"
exact,BWV 368,In_dulci_jubilo_(BWV_368)_Jean_Sébastien_Bach_layout.ly,In dulci jubilo,In dulci jubilo
exact,BWV 85/6,Ist_Gott_mein_Schild_und_Helfersmann_(BWV_85_6)_Jean_Sébastien_Bach_layout.ly,Ist Gott mein Schild und Helfersmann,Ist Gott mein Schild und Helfersmann
exact,BWV 78/7,"Jesu,_der_du_meine_Seele_(BWV_78_7)_Jean_Sébastien_Bach_layout.ly","Jesu, der du meine Seele","Jesu, der du meine Seele"
exact,BWV 355,"Jesu,_der_du_selbsten_wohl_(BWV_355)_Jean_Sébastien_Bach_layout.ly","Jesu, der du selbsten wohl","Jesu, der du selbsten wohl"
exact,BWV 356,"Jesu,_du_mein_liebstes_Leben_(BWV_356)_Jean_Sébastien_Bach_layout.ly","Jesu, du mein liebstes Leben","Jesu, du mein liebstes Leben"
exact,BWV 227/7,"Jesu,_meine_Freude_(BWV_227_7)_Jean_Sébastien_Bach_layout.ly","Jesu, meine Freude","Jesu, meine Freude"
exact,BWV 81/7,"Jesu,_meine_Freude_(BWV_81_7)_Jean_Sébastien_Bach_layout.ly","Jesu, meine Freude","Jesu, meine Freude"
exact,BWV 154/3,"Jesu,_meiner_Seelen_Wonne_(BWV_154_3)_Jean_Sébastien_Bach_layout.ly","Jesu, meiner Seelen Wonne","Jesu, meiner Seelen Wonne"
exact,BWV 361,"Jesu,_meines_Herzens_Freud_(BWV_361)_Jean_Sébastien_Bach_layout.ly","Jesu, meines Herzens Freud","Jesu, meines Herzens Freud"
exact,BWV 190/7,"Jesu,_nun_sei_gepreiset_(BWV_190_7)_Jean_Sébastien_Bach_layout.ly","Jesu, nun sei gepreiset","Jesu, nun sei gepreiset"
exact,BWV 362,"Jesu,_nun_sei_gepreiset_(BWV_362)_Jean_Sébastien_Bach_layout.ly","Jesu, nun sei gepreiset","Jesu, nun sei gepreiset"
exact,BWV 41/6,"Jesu,_nun_sei_gepreiset_(BWV_41_6)_Jean_Sébastien_Bach_layout.ly","Jesu, nun sei gepreiset","Jesu, nun sei gepreiset"
exact,BWV 159/5,"Jesu_Leiden,_Pein_und_Tod_(BWV_159_5)_Jean_Sébastien_Bach_layout.ly","Jesu Leiden, Pein und Tod","Jesu Leiden, Pein und Tod"
exact,BWV 245/14,"Jesu_Leiden,_Pein_und_Tod_(BWV_245_14)_Jean_Sébastien_Bach_layout.ly","Jesu Leiden, Pein und Tod","Jesu Leiden, Pein und Tod"
exact,BWV 245/28,"Jesu_Leiden,_Pein_und_Tod_(BWV_245_28)_Jean_Sébastien_Bach_layout.ly","Jesu Leiden, Pein und Tod","Jesu Leiden, Pein und Tod"
exact,BWV 365,"Jesus,_meine_Zuversicht_(BWV_365)_Jean_Sébastien_Bach_layout.ly","Jesus, meine Zuversicht","Jesus, meine Zuversicht"
exact,BWV 364,"Jesus_Christus,_unser_Heiland,_der_den_Tod_überwand_(BWV_364)_Jean_Sébastien_Bach_layout.ly","Jesus Christus, unser Heiland, der den Tod überwand","Jesus Christus, unser Heiland, der den Tod überwand"
exact,BWV 369,Keinen_hat_Gott_verlassen_(BWV_369)_Jean_Sébastien_Bach_layout.ly,Keinen hat Gott verlassen,Keinen hat Gott verlassen
exact,BWV 370,"Komm,_Gott_Schöpfer,_Heiliger_Geist_(BWV_370)_Jean_Sébastien_Bach_layout.ly","Komm, Gott Schöpfer, Heiliger Geist","Komm, Gott Schöpfer, heiliger Geist"
exact,BWV 226/2,"Komm,_Heiliger_Geist,_Herre_Gott_(BWV_226_2)_Jean_Sébastien_Bach_layout.ly","Komm, Heiliger Geist, Herre Gott","Komm, Heiliger Geist, Herre Gott"
exact,BWV 371,"Kyrie,_Gott_Vater_in_Ewigkeit_(choral)_(BWV_371)_Jean_Sébastien_Bach_layout.ly","Kyrie, Gott Vater in Ewigkeit","Kyrie, Gott Vater in Ewigkeit"
exact,BWV 372,"Lass,_o_Herr,_dein_Ohr_sich_neigen_(BWV_372)_Jean_Sébastien_Bach_layout.ly","Lass, o Herr, dein Ohr sich neigen","Lass, o Herr, dein Ohr sich neigen"
exact,BWV 8/6,"Liebster_Gott,_wenn_werd_ich_sterben_(BWV_8_6)_Jean_Sébastien_Bach_layout.ly","Liebster Gott, wenn werd ich sterben","Liebster Gott, wenn werd ich sterben"
exact,BWV 123/6,"Liebster_Immanuel,_Herzog_der_Frommen_(BWV_123_6)_Jean_Sébastien_Bach_layout.ly","Liebster Immanuel, Herzog der Frommen","Liebster Immanuel, Herzog der Frommen"
exact,BWV 374,"Lobet_den_Herren,_denn_er_ist_sehr_freundlich_(BWV_374)_Jean_Sébastien_Bach_layout.ly","Lobet den Herren, denn er ist sehr freundlich","Lobet den Herren, denn er ist sehr freundlich"
exact,BWV 151/5,"Lobt_Gott,_ihr_Christen,_allzugleich_(BWV_151_5)_Jean_Sébastien_Bach_layout.ly","Lobt Gott, ihr Christen, allzugleich","Lobt Gott, ihr Christen, allzugleich"
exact,BWV 115/6,"Mache_dich,_mein_Geist,_bereit_(BWV_115_6)_Jean_Sébastien_Bach_layout.ly","Mache dich, mein Geist, bereit","Mache dich, mein Geist, bereit"
exact,BWV 377,"Machs_mit_mir,_Gott,_nach_deiner_Güt_(BWV_377)_Jean_Sébastien_Bach_layout.ly","Machs mit mir, Gott, nach deiner Güt","Machs mit mir, Gott, nach deiner Güt"
exact,BWV 381,Meines_Lebens_letzte_Zeit_(BWV_381)_Jean_Sébastien_Bach_layout.ly,Meines Lebens letzte Zeit,Meines Lebens letzte Zeit
exact,BWV 83/5,Mit_Fried_und_Freud_ich_fahr_dahin_(BWV_83_5)_Jean_Sébastien_Bach_layout.ly,Mit Fried und Freud ich fahr dahin,Mit Fried und Freud ich fahr dahin
exact,BWV 383,Mitten_wir_im_Leben_sind_(BWV_383)_Jean_Sébastien_Bach_layout.ly,Mitten wir im Leben sind,Mitten wir im Leben sind
exact,BWV 384,"Nicht_so_traurig,_nicht_so_sehr_(BWV_384)_Jean_Sébastien_Bach_layout.ly","Nicht so traurig, nicht so sehr","Nicht so traurig, nicht so sehr"
exact,BWV 101/7,"Nimm_von_uns,_Herr,_du_treuer_Gott_(BWV_101_7)_Jean_Sébastien_Bach_layout.ly","Nimm von uns, Herr, du treuer Gott","Nimm von uns, Herr, du treuer Gott"
exact,BWV 90/5,"Nimm_von_uns,_Herr,_du_treuer_Gott_(BWV_90_5)_Jean_Sébastien_Bach_layout.ly","Nimm von uns, Herr, du treuer Gott","Nimm von uns, Herr, du treuer Gott"
exact,BWV 248/46,"Nun,_liebe_Seel,_nun_ist_es_Zeit_(BWV_248_46)_Jean_Sébastien_Bach_layout.ly","Nun, liebe Seel, nun ist es Zeit","Nun, liebe Seel, nun ist es Zeit"
exact,BWV 169/7,Nun_bitten_wir_den_Heiligen_Geist_(BWV_169_7)_Jean_Sébastien_Bach_layout.ly,Nun bitten wir den Heiligen Geist,Nun bitten wir den Heiligen Geist
exact,BWV 385,Nun_bitten_wir_den_Heiligen_Geist_(BWV_385)_Jean_Sébastien_Bach_layout.ly,Nun bitten wir den Heiligen Geist,Nun bitten wir den Heiligen Geist
exact,BWV 252,Nun_danket_alle_Gott_(BWV_252)_Jean_Sébastien_Bach_layout.ly,Nun danket alle Gott,Nun danket alle Gott
