BWV,Titre,Tonalite_ecrite_fichier,Tonalite_detectee_analyse,Score_adequation,Cadence_finale,Tierce_picarde,Reference_bach-chorales.com,Modal_reference,Commentaire_reference,A_verifier
BWV 274,"Christe, der du bist Tag und Licht",G mineur,G mineur,0.995,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 275,"Christe, du Beistand",A mineur,D mineur,0.961,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 276,Christ ist erstanden,C majeur,D mineur,0.964,tonic-ending,oui,D minor,Dorian,D Dorian key signature. Several tonally ambiguous and dramatic tonal shifts occur throughout this setting.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 277,Christ lag in Todesbanden (II),A mineur,D mineur,0.958,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 278,Christ lag in Todesbanden (III),E mineur,E mineur,0.956,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 279,Christ lag in Todesbanden (IV),E mineur,E mineur,0.965,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 280,Christ unser Herr zum Jordan kam,A mineur,A mineur,0.95,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,tierce picarde finale; modal (ref: Dorian)
BWV 281,"Christus, der ist mein Leben (I)",F majeur,F majeur,0.976,tonic-ending,,F major,,,
BWV 282,"Christus, der ist mein Leben (II)",G majeur,G majeur,0.936,tonic-ending,,G major,,,
BWV 283,"Christus, der uns selig macht (III)",A mineur,A mineur,0.941,dominant-ending,,A minor,,"NLGB setting begins in C major, ends in A minor.",accord final = dominante
BWV 284,"Christus ist erstanden, hat überwunden",C majeur,F majeur,0.912,dominant-ending,,C major,,This setting is considerably modified modally and chromatically relative to the NLGB setting.,armure/tonalite ecrite != detectee; accord final = dominante
BWV 285,Da der Herr Christ zu Tische saß,C mineur,C mineur,0.992,tonic-ending,oui,C minor,,,tierce picarde finale
BWV 286,"Danket dem Herrn, denn er ist sehr freundlich",A mineur,A mineur,0.991,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 287,Dank sei Gott in der Höhe,F majeur,F majeur,0.96,tonic-ending,,F major,,,
BWV 288,Das alte Jahr vergangen ist (I),A mineur,A mineur,0.908,dominant-ending,,D minor,Dorian,"D Dorian key signature. Tonally ambiguous chorale. D minor is projected in the first half with an emphasis in the melody on the dominant. However, melodically the chorale ends on G# with an E major harmony representing a tonicization of the dominant of D. Does this suggest an A minor tonality?",accord final = dominante; modal (ref: Dorian)
BWV 289,Das alte Jahr vergangen ist (II),E mineur,B mineur,0.936,dominant-ending,,E minor,,"Tonally ambiguous chorale. E minor is projected in the first half with an emphasis in the melody on the dominant. However, melodically the chorale ends on A# with an F# major harmony representing a tonicization of the dominant of D. Does this suggest a B minor tonality (with a Phrygian key signature)? Bach does not use a Dorian key signature as he did for BWV 288.",armure/tonalite ecrite != detectee; accord final = dominante
BWV 290,Das walt Gott Vater und Gott Sohn,F majeur,F majeur,0.98,tonic-ending,,F major,,,
BWV 291,"Das walt mein Gott, Vater, Sohn und heiliger Geist",D mineur,D mineur,0.995,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 292,Den Vater dort oben,C majeur,C majeur,0.961,tonic-ending,,C major,,,
BWV 293,Der du bist drei in Einigkeit,C majeur,C majeur,0.933,dominant-ending,,D minor,Dorian,"D Dorian key signature(?) Highly ambiguous tonality, from beginning to end. Opening chord sequence d–C–G–d–e–a–D–G with an alternation between C and C# confuses the tonality, as does the chorale’s ending to G. Likewise, the NLGB is tonally ambiguous, with a stong tonicization of G minor.",accord final = dominante; modal (ref: Dorian)
BWV 294,"Der Tag, der ist so freudenreich",G majeur,G majeur,0.973,tonic-ending,,G major,,,
BWV 295,Des Heilgen Geistes reiche Gnad,D mineur,D mineur,0.968,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 296,Die Nacht ist kommen,C majeur,C majeur,0.927,dominant-ending,,G major,Mixolydian,G Mixolydian key signature. Alternation between F# and F–natural makes opening phrase a bit ambiguous tonally.,accord final = dominante; modal (ref: Mixolydian)
BWV 297,Die Sonn hat sich mit ihrem Glanz gewendet,A mineur,D mineur,0.967,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 298,Dies sind die heilgen zehn Gebot,C majeur,C majeur,0.946,dominant-ending,,C major,,,accord final = dominante
BWV 299,"Dir, dir, Jehova, will ich singen",Bb majeur,Bb majeur,0.972,tonic-ending,,Bb major,,,
BWV 300,Du großer Schmerzensmann,E mineur,E mineur,0.991,tonic-ending,,E minor,,,
BWV 301,"Du, o schönes Weltgebäude (II)",D mineur,D mineur,0.969,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 302,Ein feste Burg ist unser Gott (II),D majeur,D majeur,0.957,tonic-ending,,D major,,,
BWV 303,Ein feste Burg ist unser Gott (III),D majeur,D majeur,0.95,tonic-ending,,D major,,,
BWV 304,"Eins ist not, ach Herr, dies Eine",D majeur,D majeur,0.982,tonic-ending,,D major,,,
BWV 305,"Erbarm dich mein, o Herre Gott",A mineur,A mineur,0.975,dominant-ending,,A minor,Phrygian,Chorale melody is clearly an E Phrygian melody. Bach casts it in A minor.,accord final = dominante; modal (ref: Phrygian)
BWV 306,Erstanden ist der heilig Christ,F majeur,F majeur,0.98,tonic-ending,,F major,,,
BWV 307,Es ist gewisslich an der Zeit,Bb majeur,Bb majeur,0.979,tonic-ending,,Bb major,,,
BWV 308,Es spricht der Unweisen Mund wohl,Bb majeur,Bb majeur,0.979,tonic-ending,,Bb major,,,
BWV 309,Es stehn vor Gottes Throne,D mineur,G mineur,0.966,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 310,Es wird schier der letzte Tag herkommen,E mineur,E mineur,0.994,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 311,Es woll uns Gott genädig sein (II),B mineur,B mineur,0.98,dominant-ending,,B minor,,,accord final = dominante
BWV 312,Es woll uns Gott genädig sein (III),A mineur,A mineur,0.973,dominant-ending,,A minor,,,accord final = dominante
BWV 313,Für Freuden lasst uns springen,G mineur,G mineur,0.98,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 314,"Gelobet seist du, Jesu Christ (III)",B mineur,A majeur,0.931,tonic-ending,,D major,,,armure/tonalite ecrite != detectee
BWV 315,Gib dich zufrieden und sei stille,E mineur,E mineur,0.98,tonic-ending,,E minor,,,
BWV 316,"Gott, der du selber bist das Licht",G mineur,G mineur,0.99,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 317,Gott der Vater wohn uns bei,D majeur,D majeur,0.979,tonic-ending,,D major,,,
BWV 318,Gottes Sohn ist kommen,G majeur,G majeur,0.965,tonic-ending,,G major,,,
BWV 319,Gott hat das Evangelium,E mineur,E mineur,0.995,dominant-ending,,E minor,,G Dorian key signature.,accord final = dominante
BWV 320,Gott lebet noch,F majeur,F majeur,0.958,tonic-ending,,F major,,,
BWV 321,"Gottlob, es geht nunmehr zum Ende",Bb majeur,Bb majeur,0.955,tonic-ending,,Bb major,,,
BWV 322,Gott sei gelobet und gebenedeiet,C majeur,C majeur,0.939,dominant-ending,,C major,,"Ambiguous tonality. Open phrase cadence with the chord sequence C–a–d–e confuses the tonality. After a tonal closure to C major, the chorale ends with a tonicization of G major.",accord final = dominante
BWV 323,Gott sei uns gnädig und barmherzig,F# mineur,F# mineur,0.98,tonic-ending,oui,F# minor,,,tierce picarde finale
BWV 324,Meine Seele erhebt den Herren (II),E mineur,E mineur,1.0,tonic-ending,,E minor,,,
BWV 325,"Heilig, heilig",F majeur,F majeur,0.963,tonic-ending,,F,major,,modal (ref: major)
BWV 326,"Herr Gott, dich loben alle wir",Bb majeur,Bb majeur,0.989,tonic-ending,,Bb major,,,
BWV 327,Vor deinen Thron tret ich hiermit,D majeur,D majeur,0.98,tonic-ending,,D major,,,
BWV 328,"Herr Gott, dich loben wir",A mineur,A mineur,0.956,dominant-ending,,A minor,,Chorale opening is tonally ambiguous. This chorale is a setting of a portion of the melody presented in the NLGB. A minor is the tonality of this portion.,accord final = dominante
BWV 329,"Herr, ich denk an jene Zeit",Eb majeur,Eb majeur,0.974,tonic-ending,,Eb major,,,
BWV 330,"Herr, ich habe missgehandelt (I)",A mineur,A mineur,0.994,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 331,"Herr, ich habe missgehandelt (II)",A mineur,A mineur,0.993,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 332,"Herr Jesu Christ, dich zu uns wend",G majeur,G majeur,0.948,tonic-ending,,G major,,,
BWV 333,"Herr Jesu Christ, du hast bereit'",G mineur,G mineur,0.991,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 334,"Herr Jesu Christ, ich schrei zu dir (II)",G mineur,G mineur,0.971,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 335,"Herr Jesu Christ, meins Lebens Licht",E mineur,B mineur,0.935,tonic-ending,oui,E minor,,,armure/tonalite ecrite != detectee; tierce picarde finale
BWV 336,"Herr Jesu Christ, wahr Mensch und Gott (II)",A majeur,A majeur,0.913,tonic-ending,,A major,,,
BWV 337,"Herr, nun lass in Friede",A mineur,A mineur,0.985,dominant-ending,,A minor,,,accord final = dominante
BWV 338,"Herr, straf mich nicht in deinem Zorn",A mineur,A mineur,0.971,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 339,Wer in dem Schutz des Höchsten ist,A majeur,A majeur,0.929,tonic-ending,,A major,,"The NLGB copy available on the web lacks this page. An insert gives the pitches of the melody only (F E F G, etc.). Presumably, the key signature is F major with 1 flat.",
BWV 340,"Herzlich lieb hab ich dich, o Herr (III)",C majeur,C majeur,0.936,tonic-ending,,C major,,,
BWV 341,"Heut ist, o Mensch, ein großer Trauertag",D mineur,G mineur,0.986,tonic-ending,oui,G minor,Dorian,G Dorian key signature. Ambiguous tonality throughout — F major implied at the opening.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 342,Heut triumphieret Gottes Sohn,A mineur,A mineur,0.991,dominant-ending,,A minor,,NLGB setting begins in C major.,accord final = dominante
BWV 343,"Hilf, Gott, dass mirs gelinge",D mineur,G mineur,0.992,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 344,"Hilf, Herr Jesu, lass gelingen (II)",D mineur,G mineur,1.0,tonic-ending,,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; modal (ref: Dorian)
BWV 345,"Ich bin ja, Herr, in deiner Macht",G mineur,G mineur,0.956,tonic-ending,,G minor,,,
BWV 346,"Ich dank dir, Gott, für deine Wohltat",C majeur,C majeur,0.921,tonic-ending,,C major,,"Opening phrase is highly chromatic, with pitches Bb and F# in juxtaposition.",
BWV 347,"Ich dank dir, lieber Herre (II)",A majeur,A majeur,0.952,tonic-ending,,A major,,,
BWV 348,"Ich dank dir, lieber Herre (III)",Bb majeur,Bb majeur,0.928,tonic-ending,,Bb major,,,
BWV 349,Ich dank dir schon durch deinen Sohn,F majeur,F majeur,0.958,tonic-ending,,F major,,,
BWV 350,"Ich danke dir, Herr Gott, in deinem Throne",G mineur,G mineur,0.989,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 351,Ich hab mein Sach Gott heimgestellt,D mineur,G mineur,0.967,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 352,"Jesu, der du meine Seele (II)",A mineur,A mineur,0.992,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 353,"Jesu, der du meine Seele (III)",G mineur,G mineur,0.996,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 354,"Jesu, der du meine Seele (IV)",F mineur,Bb mineur,0.991,tonic-ending,oui,Bb minor,Dorian,Bb Dorian key signature. Rare key of Bb minor!,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 355,"Jesu, der du selbsten wohl",A majeur,A majeur,0.965,tonic-ending,,A major,,,
BWV 356,"Jesu, du mein liebstes Leben",G mineur,G mineur,0.996,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 357,"Jesu, Jesu, du bist mein",G mineur,C mineur,0.997,tonic-ending,oui,C minor,Dorian,C Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 358,"Jesu, meine Freude (V)",D mineur,D mineur,0.96,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 359,"Jesu, meiner Seelen Wonne (II)",A majeur,A majeur,0.946,tonic-ending,,,,,
BWV 360,"Jesu, meiner Seelen Wonne (III)",Bb majeur,Bb majeur,0.975,tonic-ending,,,,,
BWV 361,"Jesu, meines Herzens Freud",Bb majeur,Bb majeur,0.946,tonic-ending,,Bb major,,,
BWV 362,"Jesu, nun sei gepreiset (III)",Bb majeur,Bb majeur,0.92,tonic-ending,,Bb major,,,
BWV 363,"Jesus Christus, unser Heiland, der von uns den Gottes Zorn wandt",E mineur,E mineur,0.986,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 364,"Jesus Christus, unser Heiland, der den Tod überwand",D mineur,G mineur,0.958,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 365,"Jesus, meine Zuversicht",C majeur,C majeur,0.966,tonic-ending,,C major,,,
BWV 366,"Ihr Gestirn, ihr hohlen Lüfte (II)",D mineur,D mineur,0.977,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 367,In allen meinen Taten (III),C majeur,C majeur,0.926,tonic-ending,,C major,,,
BWV 368,In dulci jubilo,F majeur,F majeur,0.975,tonic-ending,,F major,,,
BWV 369,Keinen hat Gott verlassen,E mineur,E mineur,0.979,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 370,"Komm, Gott Schöpfer, Heiliger Geist",C majeur,C majeur,0.98,dominant-ending,,C major,,"Ambiguous tonality, wavering between C major and G major. The opening phrase chord sequence (G–F–C–d) confuses tonally. Likewise, the NLGB setting wavers tonally.",accord final = dominante
BWV 371,"Kyrie, Gott Vater in Ewigkeit",A mineur,A mineur,0.945,dominant-ending,,A minor,,The NLGB setting is monophonic but at the same pitch level as teh Bach melody.,accord final = dominante
BWV 372,"Lass, o Herr, dein Ohr sich neigen",D mineur,G mineur,0.985,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 373,"Liebster Jesu, wir sind hier",G majeur,G majeur,0.975,tonic-ending,,G major,,,
BWV 374,"Lobet den Herren, denn er ist sehr freundlich",D mineur,G mineur,0.991,dominant-ending,,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: Dorian)
BWV 375,"Lobt Gott, ihr Christen, allzugleich (II)",G majeur,G majeur,0.963,tonic-ending,,G major,,,
BWV 376,"Lobt Gott, ihr Christen, allzugleich (III)",A majeur,A majeur,0.978,tonic-ending,,A major,,,
BWV 377,"Machs mit mir, Gott, nach deiner Güt",D majeur,D majeur,0.968,tonic-ending,,D major,,,
BWV 378,Mein Augen schließ ich jetzt in Gottes Namen zu,G majeur,G majeur,0.972,tonic-ending,,G major,,,
BWV 379,Meinen Jesum lass ich nicht (III),G majeur,G majeur,0.98,tonic-ending,,G major,,,
BWV 380,Meinen Jesum lass ich nicht (IV),Eb majeur,Eb majeur,0.942,tonic-ending,,Eb major,,,
BWV 381,Meines Lebens letzte Zeit,E mineur,E mineur,0.986,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 382,Mit Fried und Freud ich fahr dahin (II),A mineur,D mineur,0.966,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 383,Mitten wir im Leben sind,A mineur,A mineur,0.981,dominant-ending,,A minor,,,accord final = dominante
BWV 384,"Nicht so traurig, nicht so sehr",C mineur,C mineur,1.0,tonic-ending,,C minor,,,
BWV 385,Nun bitten wir den Heiligen Geist (III),A majeur,A majeur,0.979,tonic-ending,,A major,,,
BWV 386,Nun danket alle Gott (II),A majeur,A majeur,0.973,tonic-ending,,A major,,,
BWV 387,"Nun freut euch, Gottes Kinder all",C majeur,D mineur,0.975,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 388,"Nun freut euch, lieben Christen gmein",G majeur,G majeur,0.976,tonic-ending,,G major,,,
BWV 389,"Nun lob, mein Seel, den Herren (III)",C majeur,C majeur,0.951,tonic-ending,,C major,,,
BWV 390,"Nun lob, mein Seel, den Herren (IV)",C majeur,C majeur,0.96,tonic-ending,,C major,,,
BWV 391,Nun preiset alle Gottes Barmherzigkeit,G majeur,G majeur,0.935,tonic-ending,,G major,,,
BWV 392,Nun ruhen alle Wälder,Bb majeur,Bb majeur,0.963,tonic-ending,,Bb major,,,
BWV 393,"O Welt, sieh hier dein Leben (IV)",A majeur,A majeur,0.955,tonic-ending,,A major,,,
BWV 394,"O Welt, sieh hier dein Leben (V)",A majeur,A majeur,0.984,tonic-ending,,A major,,,
BWV 395,"O Welt, sieh hier dein Leben (VI)",A majeur,A majeur,0.948,tonic-ending,,A major,,,
BWV 396,Nun sich der Tag geendet hat,A mineur,A mineur,0.993,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 397,"O Ewigkeit, du Donnerwort (II)",F majeur,F majeur,0.943,tonic-ending,,F major,,,
BWV 398,"O Gott, du frommer Gott (III)",D majeur,D majeur,0.969,tonic-ending,,D major,,,
BWV 399,"O Gott, du frommer Gott (IV)",E mineur,G majeur,0.97,tonic-ending,,G major,,,armure/tonalite ecrite != detectee
BWV 400,O Herzensangst,Eb majeur,Eb majeur,0.956,tonic-ending,,Eb major,,,
BWV 401,"O Lamm Gottes, unschuldig",F majeur,F majeur,0.949,tonic-ending,,F major,,,
BWV 402,"O Mensch, bewein dein Sünde groß",Eb majeur,Eb majeur,0.921,tonic-ending,,Eb major,,,
BWV 403,"O Mensch, schau Jesum Christum an",D mineur,G mineur,0.967,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 404,"O Traurigkeit, o Herzeleid! (I)",A mineur,A mineur,0.993,tonic-ending,,A minor,,,
BWV 405,"O wie selig seid ihr doch, ihr Frommen (I)",D mineur,D mineur,0.973,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 406,"O wie selig seid ihr doch, ihr Frommen (II)",D mineur,D mineur,0.995,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 407,O wir armen Sünder!,D majeur,D majeur,0.903,tonic-ending,,D major,,,
BWV 408,"Schaut, ihr Sünder",D mineur,G mineur,0.977,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 409,Seelenbräutigam,A majeur,A majeur,0.957,tonic-ending,,A major,,,
BWV 410,"Sei gegrüßet, Jesu gütig",G mineur,G mineur,0.966,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 411,Singt dem Herrn ein neues Lied,G majeur,C majeur,0.895,dominant-ending,,G major,,,armure/tonalite ecrite != detectee; accord final = dominante; fit modere (0.895)
BWV 412,"So gibst du nun, mein Jesu, gute Nacht!",D mineur,G mineur,0.98,tonic-ending,oui,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 413,Sollt ich meinem Gott nicht singen,D mineur,D mineur,0.982,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 414,Uns ist ein Kindlein heut geborn,G majeur,G majeur,0.963,tonic-ending,,G major,,"NLGB setting begins in E minor, ends in A minor.",
BWV 415,Valet will ich dir geben (II),D majeur,D majeur,0.925,tonic-ending,,D major,,,
BWV 416,Vater unser im Himmelreich (III),D mineur,D mineur,0.968,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 417,Von Gott will ich nicht lassen (II),B mineur,B mineur,0.966,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 418,Von Gott will ich nicht lassen (III),A mineur,A mineur,0.975,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 419,Von Gott will ich nicht lassen (IV),A mineur,A mineur,0.971,tonic-ending,,A minor,,,
BWV 420,"Warum betrübst du dich, mein Herz (II)",A mineur,A mineur,0.975,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 421,"Warum betrübst du dich, mein Herz (III)",A mineur,A mineur,0.944,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 422,Warum sollt ich mich denn grämen,C majeur,C majeur,0.922,dominant-ending,,C major,,Ambiguous tonality. Chorale begins unambiguously in C major and ends unambiguously in G major (with a Mixolydian key signature). The use of C major’s key signature and the tonicizing of C at the opening differs from Bach’s other setting of this tune (BWV 248.33).,accord final = dominante
BWV 423,"Was betrübst du dich, mein Herz",D mineur,G mineur,0.993,tonic-ending,,G minor,Dorian,G Dorian key signature.,armure/tonalite ecrite != detectee; modal (ref: Dorian)
BWV 424,"Was bist du doch, o Seele, so betrübet",A mineur,A mineur,0.978,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 425,"Was willst du dich, o meine Seele, kränken",A mineur,D mineur,0.972,tonic-ending,oui,A minor,,"Ambiguous tonality. Begins unambiguously in D minor (Dorian), but ends in A minor, with a half cadence. Same is true for the NLGB setting.",armure/tonalite ecrite != detectee; tierce picarde finale
BWV 426,Weltlich Ehr und zeitlich Gut,C majeur,C majeur,0.939,tonic-ending,,C major,,,
BWV 427,Wenn ich in Angst und Not,Eb majeur,Eb majeur,0.966,tonic-ending,,Eb major,,,
BWV 428,Wenn mein Stündlein vorhanden ist (I),G majeur,G majeur,0.968,tonic-ending,,G major,,,
BWV 429,Wenn mein Stündlein vorhanden ist (II),A majeur,A majeur,0.941,tonic-ending,,A major,,,
BWV 430,Wenn mein Stündlein vorhanden ist (III),A majeur,A majeur,0.964,tonic-ending,,A major,,,
BWV 431,Wenn wir in höchsten Nöten sein (I),F majeur,F majeur,0.949,tonic-ending,,F major,,,
BWV 432,Wenn wir in höchsten Nöten sein (II),G majeur,G majeur,0.955,tonic-ending,,G major,,,
BWV 433,"Wer Gott vertraut, hat wohl gebaut",G majeur,G majeur,0.977,tonic-ending,,G major,,,
BWV 434,Wer nur den lieben Gott lässt walten (III),A mineur,A mineur,0.959,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 435,"Wie bist du, Seele, in mir so gar betrübt",E mineur,E mineur,0.977,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 436,Wie schön leuchtet der Morgenstern (III),E majeur,E majeur,0.96,tonic-ending,,E major,,,
BWV 437,Wir glauben all an einen Gott,A mineur,D mineur,0.966,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 438,Wo Gott zum Haus nicht gibt sein Gunst (I),F majeur,F majeur,0.969,tonic-ending,,F major,,,
BWV 441,"Auf, auf, mein Herz, mit Freuden",F majeur,F majeur,0.956,tonic-ending,,F major,,,
BWV 1084,"Christus, der uns selig macht (IV)",G mineur,G mineur,0.953,dominant-ending,,G minor,,"NLGB setting begins in C major, ends in A minor.",accord final = dominante
BWV 1089,Da Jesus an dem Kreuze stund,A mineur,A mineur,0.97,dominant-ending,,A minor,,,accord final = dominante
BWV 1122,"Denket doch, ihr Menschenkinder",F majeur,F majeur,0.921,tonic-ending,,F major,,,
BWV 1123,Wo Gott zum Haus nicht gibt sein Gunst (II),G majeur,G majeur,0.969,tonic-ending,,G major,,,
BWV 1124,"Ich ruf zu dir, Herr Jesu Christ (II)",E mineur,E mineur,0.984,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 1125,"O Gott, du frommer Gott (V)",D majeur,D majeur,0.951,tonic-ending,,D major,,,
BWV 1126,"Lobet Gott, unsern Herren",A mineur,D mineur,0.98,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 145a,"Auf, mein Herz, des Herren Tag",D majeur,D majeur,0.943,tonic-ending,,D major,,,
BWV 500a,"So gehst du nun, mein Jesu, hin",G mineur,G mineur,0.955,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 69a/6,"Was Gott tut, das ist wohlgetan (I)",G majeur,G majeur,0.971,tonic-ending,,G major,,,
pas de BWV,"O Traurigkeit, o Herzeleid! (II)",G mineur,G mineur,0.983,tonic-ending,oui,,,,tierce picarde finale
